Reason for Scrap,Count
0,218
9001,259
9002,201
9003,1559
9004,30
9007,2
9008,2
9011,34
9012,10
9013,141
9014,98
9015,554
9016,73
9017,10
9018,5
9019,223
9020,48
9021,27
9022,15
9023,104
9024,1
9025,43
9026,9
9027,3
9028,5
9029,3
9030,7
9031,18
9032,9
9033,11
9034,157
9037,7
9038,177
9039,1
9040,556
9041,38
9045,29
9046,28
9047,25
9048,10
9050,251
9051,251
9052,38
9053,7
9054,3
9055,1
9057,75
9058,5
9059,416
9060,138
9062,3
9063,213
9064,1243
9065,472
9066,68
9067,22
9068,70
9069,87
9070,9
9071,6
9072,245
9073,6
9074,1
9075,76
9076,18
9077,29
9078,6
9079,8
9080,7
9081,4
9082,2
9083,5
9084,2
9085,1
9086,1
9088,30
9090,216
9091,284
9092,35
9093,124
9094,51
9095,28
9096,25
9097,12
9098,59
9099,1
9100,53
9101,3
9102,44
9103,5
9104,95
9105,20
9106,61
9107,44
9108,100
9109,30
9110,66
9111,1577
9112,2663
9113,8
9114,43
9115,24
9116,59
9117,1
9118,22
9119,25
9120,3886
9121,268
9122,171
9123,122
9124,86
9125,113
9126,117
9127,51
9128,108
9129,17044
9130,1307
9131,75
9132,35
9133,127
9134,1280
9135,1570
9136,3950
9137,835
9138,4700
9139,1061
9140,885
9141,160
9142,20
9143,9
9144,619
9145,137
9146,54
9147,87
9148,89
9149,16
9150,8
9151,41
9152,15
9153,70
9154,10
9155,24
9156,20
9157,32
9158,16
9159,46
9160,72
9161,58
9162,212
9163,623
9164,280
9165,550
9166,357
9167,56
9168,115
9169,89
9170,32
9171,174
9172,75
9173,2685
9174,3372
9175,6449
9176,1466
9177,237
9178,45
9179,225
9180,4
9181,2656
9182,256
9183,4317
9184,233
9185,912
9186,23
9187,448
9188,8
9189,27
9190,23311
9191,156
9192,155003
9193,2479
9194,2797
9195,1062
9196,458
9197,1830
9198,1954
9199,9338
9200,535
9201,2670
9202,198
9203,14
9204,37
9205,4793
9206,2488
9207,38
9208,3
9210,44054
9211,20533
9212,14
9213,6
9214,82
9215,1
9216,527
9217,62
9218,455
9219,3
9220,531
9221,598
9222,249
9223,437
9224,1337
9225,4345
9226,108
9227,1914
9228,112
9229,177
9230,952
9231,84
9232,138
9233,19
9234,1113
9235,240
9236,30
9237,355
9238,2477
9239,213
9240,1320
9241,194
9242,286
9243,1054
9244,1169
9245,32082
9246,136
9247,24
9248,80
9249,47
9250,160
9251,293
9252,1
9253,40
9254,9209
9255,543
9256,65
9257,27
9258,1051
9259,982
9260,795
9261,178
9262,2055
9263,1030
9264,175
9265,348
9266,699
9267,8
9268,1722
9269,45
9270,4038
9271,98
9272,23
9273,9522
9274,48
9275,46
9276,18
9277,140
9278,46
9279,97
9280,4394
9281,61
9282,929
9283,1939
9284,142
9285,703
9286,259
9287,31
9288,147
9289,1963
9290,752
9291,960
9292,243
9293,626
9294,366
9295,614
9296,697
9297,227
9298,237
9299,58
9300,197
9301,193
9302,356
9303,4
9304,2600
9305,4491
9306,49
9307,731
9308,242
9309,895
9310,4297
9311,2887
9312,794
9313,64
9314,117
9315,1361
9316,1317
9317,1249
9318,64
9319,167
9320,88
9321,913
9322,254
9323,1
9324,2810
9325,609
9326,1447
9327,64
9328,252
9329,299
9330,5044
9331,260
9332,168
9333,164
9334,51
9335,136
9336,184
9337,1438
9338,267
9339,183
9340,40
9341,162
9343,367
9344,224
9345,1353
9346,153
9347,425
9348,83
9349,504
9350,83
9351,1387
9352,633
9353,1174
9354,184
9355,6216
9356,7445
9357,528
9358,445
9359,366
9360,169
9361,191
9362,527
9363,3205
9364,195
9365,373
9366,116
9367,1190
9368,404
9369,199
9370,10790
9371,3879
9372,1288
9373,4204
9374,57
9375,54
9376,78
9377,5659
9378,7
9379,2
9380,1018
9381,220
9382,106
9383,464
9384,1594
9385,320
9386,84447
9387,1271
9388,2639
9389,144
9390,696
9391,1340
9392,30
9393,99
9394,28
9395,11
9396,144
9397,92
9399,154
9400,12
9401,202
9403,29
9405,23
9406,1
9407,28
9408,111
9410,166
9412,64
9413,29
9414,165
9415,2479
9417,48
9418,10
9419,164
9421,263
9423,301
9425,12
9426,53
9427,31
9428,56
9430,1
9432,53
9433,336
9434,2349
9435,163
9436,87
9437,53
9438,54
9439,1719
9440,6041
9441,228
9442,1674
9443,1320
9444,975
9445,337
9446,254
9447,2312
9448,88
9449,389
9450,172
9451,308
9452,2345
9453,334
9454,1742
9455,5345
9456,2
9458,21
9460,548
9461,80
9463,40
9464,59
9465,205
9466,561
9467,103
9468,9200
9469,2548
9470,606
9471,3899
9472,1579
9473,1003
9474,648
9475,129
9476,199
9477,87
9478,231
9479,387
9480,49
9481,63
9482,32
9484,36
9486,1838
9487,87
9488,101
9489,136
9490,49
9491,212
9493,2
9496,23
9497,12455
9498,1009
9499,2312
9500,655
9501,2
9502,26
9504,31
9505,366
9506,4
9507,56
9509,1
9510,6
9511,24
9512,14
9513,29
9514,715
9515,19
9516,559
9517,54
9518,2103
9519,105
9520,125
9521,22
9522,9223
9523,14
9524,312
9525,114
9527,61
9528,100
9529,71
9530,56
9531,66
9532,7
9533,126
9534,21
9535,12
9536,33
9537,10
9538,1
9540,1
9541,29
9542,16
9543,33
9544,22
9545,228
9546,192
9547,41
9548,432
9549,39
9550,178
9551,32
9553,34
9554,1
9555,392
9556,53
9557,28
9559,152
9560,981
9561,6
9562,24
9564,63
9567,10
9568,18
9569,33
9570,1321
9572,187
9573,9
9574,39
9576,7
9577,29
9578,30
9579,2052
9580,60
9581,82
9582,11
9583,31
9585,11
9586,29
9587,10
9589,73
9590,1045
9591,32
9592,18
9593,56
9596,32
9597,28
9598,91
9599,122
9600,39
9601,6497
9602,97
9603,63
9604,159
9605,12
9606,1
9607,119
9608,4
9609,85
9610,1
9611,57
9612,1
9613,27
9614,119
9615,184
9616,32
9617,55
9618,787
9621,1
9622,10
9623,8
9624,87
9625,62
9627,60
9630,11
9632,157
9633,6
9634,23
9635,421
9636,72
9637,3175
9638,541
9639,28
9641,278
9642,4311
9643,61
9646,33
9650,5
9651,41
9652,83
9653,469
9654,961
9655,807
9656,11196
9657,3447
9658,2628
9659,370
9660,30
9661,55
9662,7637
9663,4422
9664,229
9665,102
9666,307
9667,221
9668,1
9669,12427
9670,3
9671,29
9674,9
9676,25
9677,1864
9678,94
9679,80
9680,357
9681,175
9682,24588
9683,5827
9684,1438
9685,2191
9687,2
9688,43
9689,119
9690,3307
9691,30099
9692,23585
9693,7598
9694,27
9695,9
9696,23229
9697,236
